id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,key,mode,loudness_db,duration_sec,instrumentalness,speechiness,bpm_confidence,beat_strength,energy_start,energy_end
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,8,major,-5.2,202,0.02,0.05,0.93,0.86,0.78,0.84
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2,minor,-13.8,194,0.62,0.03,0.88,0.41,0.40,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,11,minor,-4.8,215,0.08,0.07,0.95,0.92,0.88,0.94
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,5,minor,-15.1,188,0.74,0.03,0.84,0.36,0.34,0.32
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,9,major,-4.2,224,0.01,0.08,0.92,0.95,0.91,0.96
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,1,major,-18.4,248,0.91,0.02,0.79,0.18,0.22,0.24
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,4,major,-12.9,231,0.58,0.04,0.86,0.48,0.36,0.39
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,7,minor,-7.3,207,0.12,0.06,0.91,0.77,0.72,0.74
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,3,minor,-14.6,196,0.67,0.03,0.87,0.39,0.38,0.41
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,10,major,-6.1,213,0.05,0.05,0.94,0.84,0.74,0.81
